CCS PCM C Compiler, Version 5.007, 61971               19-Ara-22 00:24

               Filename:   C:\Users\Samet\OneDrive\Masaüstü\SERA_DOCS\RTC - Ýkinci\kod\DS1202_PROJECT.lst

               ROM used:   1275 words (62%)
                           Largest free fragment is 773
               RAM used:   19 (8%) at main() level
                           36 (16%) worst case
               Stack used: 0 locations
               Stack size: 8

*
0000:  MOVLW  02
0001:  MOVWF  0A
0002:  GOTO   2B1
0003:  NOP
.................... #include <16f628a.h> 
.................... //////// Standard Header file for the PIC16F628A device //////////////// 
.................... #device PIC16F628A 
0004:  BCF    0A.0
0005:  BCF    0A.1
0006:  BCF    0A.2
0007:  ADDWF  02,F
0008:  RETLW  28
0009:  RETLW  0C
000A:  RETLW  01
000B:  RETLW  06
000C:  BCF    0A.0
000D:  BCF    0A.1
000E:  BCF    0A.2
000F:  ADDWF  02,F
0010:  RETLW  50
0011:  RETLW  2E
0012:  RETLW  54
0013:  RETLW  45
0014:  RETLW  53
0015:  RETLW  49
0016:  RETLW  00
0017:  BCF    0A.0
0018:  BCF    0A.1
0019:  BCF    0A.2
001A:  ADDWF  02,F
001B:  RETLW  53
001C:  RETLW  41
001D:  RETLW  4C
001E:  RETLW  49
001F:  RETLW  00
0020:  BCF    0A.0
0021:  BCF    0A.1
0022:  BCF    0A.2
0023:  ADDWF  02,F
0024:  RETLW  43
0025:  RETLW  41
0026:  RETLW  52
0027:  RETLW  53
0028:  RETLW  41
0029:  RETLW  4D
002A:  RETLW  42
002B:  RETLW  41
002C:  RETLW  00
002D:  BCF    0A.0
002E:  BCF    0A.1
002F:  BCF    0A.2
0030:  ADDWF  02,F
0031:  RETLW  50
0032:  RETLW  45
0033:  RETLW  52
0034:  RETLW  53
0035:  RETLW  45
0036:  RETLW  4D
0037:  RETLW  42
0038:  RETLW  45
0039:  RETLW  00
003A:  BCF    0A.0
003B:  BCF    0A.1
003C:  BCF    0A.2
003D:  ADDWF  02,F
003E:  RETLW  43
003F:  RETLW  55
0040:  RETLW  4D
0041:  RETLW  41
0042:  RETLW  00
0043:  BCF    0A.0
0044:  BCF    0A.1
0045:  BCF    0A.2
0046:  ADDWF  02,F
0047:  RETLW  43
0048:  RETLW  2E
0049:  RETLW  54
004A:  RETLW  45
004B:  RETLW  53
004C:  RETLW  49
004D:  RETLW  00
004E:  BCF    0A.0
004F:  BCF    0A.1
0050:  BCF    0A.2
0051:  ADDWF  02,F
0052:  RETLW  50
0053:  RETLW  41
0054:  RETLW  5A
0055:  RETLW  41
0056:  RETLW  52
0057:  RETLW  00
0058:  BCF    0A.0
0059:  BCF    0A.1
005A:  BCF    0A.2
005B:  ADDWF  02,F
005C:  RETLW  4D
005D:  RETLW  41
005E:  RETLW  52
005F:  RETLW  55
0060:  RETLW  4C
0061:  RETLW  00
0062:  BCF    0A.0
0063:  BCF    0A.1
0064:  BCF    0A.2
0065:  ADDWF  02,F
0066:  RETLW  43
0067:  RETLW  49
0068:  RETLW  4C
0069:  RETLW  45
006A:  RETLW  4B
006B:  RETLW  00
*
0245:  MOVF   33,W
0246:  CLRF   78
0247:  SUBWF  32,W
0248:  BTFSC  03.0
0249:  GOTO   24D
