CCS PCM C Compiler, Version 5.007, 61971               21-Ara-22 12:20

               Filename:   C:\Users\Samet\OneDrive\Masaüstü\SERA_DOCS\TOPlaM\yeni1\main.lst

               ROM used:   4773 words (58%)
                           Largest free fragment is 2048
               RAM used:   77 (21%) at main() level
                           135 (37%) worst case
               Stack used: 1 locations (0 in main + 1 for interrupts)
               Stack size: 8

*
0000:  MOVLW  10
0001:  MOVWF  0A
0002:  GOTO   000
0003:  NOP
0004:  MOVWF  7F
0005:  SWAPF  03,W
0006:  CLRF   03
0007:  MOVWF  21
0008:  MOVF   0A,W
0009:  MOVWF  20
000A:  CLRF   0A
000B:  MOVF   04,W
000C:  MOVWF  22
000D:  MOVF   77,W
000E:  MOVWF  23
000F:  MOVF   78,W
0010:  MOVWF  24
0011:  MOVF   79,W
0012:  MOVWF  25
0013:  MOVF   7A,W
0014:  MOVWF  26
0015:  BCF    03.7
0016:  BCF    03.5
0017:  MOVLW  8C
0018:  MOVWF  04
0019:  BTFSS  00.5
001A:  GOTO   01D
001B:  BTFSC  0C.5
001C:  GOTO   032
001D:  BTFSS  0B.5
001E:  GOTO   021
001F:  BTFSC  0B.2
0020:  GOTO   035
0021:  MOVF   22,W
0022:  MOVWF  04
0023:  MOVF   23,W
0024:  MOVWF  77
0025:  MOVF   24,W
0026:  MOVWF  78
0027:  MOVF   25,W
0028:  MOVWF  79
0029:  MOVF   26,W
002A:  MOVWF  7A
002B:  MOVF   20,W
002C:  MOVWF  0A
002D:  SWAPF  21,W
002E:  MOVWF  03
002F:  SWAPF  7F,F
0030:  SWAPF  7F,W
0031:  RETFIE
0032:  BCF    0A.3
0033:  BCF    0A.4
0034:  GOTO   040
0035:  BCF    0A.3
0036:  BCF    0A.4
0037:  GOTO   41B
.................... #include <16F877A.h> 
.................... //////// Standard Header file for the PIC16F877A device //////////////// 
.................... #device PIC16F877A 
0038:  BCF    0A.0
0039:  BCF    0A.1
003A:  BCF    0A.2
003B:  ADDWF  02,F
003C:  RETLW  28
003D:  RETLW  0C
003E:  RETLW  01
003F:  RETLW  06
*
00FF:  MOVF   0B,W
0100:  BSF    03.5
0101:  MOVWF  2E
0102:  BCF    03.5
0103:  BCF    0B.7
0104:  BSF    03.5
0105:  BSF    03.6
0106:  BSF    0C.7
0107:  BSF    0C.0
0108:  NOP
0109:  NOP
010A:  BTFSC  03.0
010B:  GOTO   13B
010C:  BCF    03.5
010D:  MOVF   0C,W
010E:  ANDLW  7F
010F:  BSF    03.5
0110:  BCF    03.6
0111:  MOVWF  2F
0112:  BCF    03.5
0113:  BSF    03.6
0114:  MOVF   0D,W
0115:  BSF    03.5
0116:  BCF    03.6
0117:  MOVWF  30
0118:  BCF    03.5
0119:  BSF    03.6
011A:  MOVF   0F,W
011B:  BSF    03.5
011C:  BCF    03.6
011D:  MOVWF  31
011E:  MOVF   2F,W
011F:  BCF    03.5
0120:  BTFSS  0C.4
0121:  GOTO   120
0122:  MOVWF  19
0123:  BSF    03.5
0124:  MOVF   30,W
0125:  BCF    03.5
0126:  BSF    03.6
0127:  MOVWF  0D
0128:  BSF    03.5
0129:  BCF    03.6
012A:  MOVF   31,W
012B:  BCF    03.5
